date,volatility,stock
2021-01-20,3.541043E-4,aapl
2021-01-21,4.0544043E-4,aapl
2021-01-22,4.702017E-4,aapl
2021-01-25,4.539417E-4,aapl
2021-01-26,4.7459485E-4,aapl
2021-01-27,4.3980553E-4,aapl
2021-01-28,4.1227308E-4,aapl
2021-01-29,4.743928E-4,aapl
2021-02-01,5.442868E-4,aapl
2021-02-02,5.222999E-4,aapl
2021-02-03,4.8583638E-4,aapl
2021-02-04,4.542158E-4,aapl
2021-02-05,4.6770726E-4,aapl
2021-02-08,4.340369E-4,aapl
2021-02-09,4.0282783E-4,aapl
2021-02-10,3.7751248E-4,aapl
2021-02-11,3.5287382E-4,aapl
2021-02-12,3.2924218E-4,aapl
2021-02-16,3.0772501E-4,aapl
2021-02-17,3.0694457E-4,aapl
2021-02-18,3.1007794E-4,aapl
2021-02-19,2.9550493E-4,aapl
2021-02-22,2.769455E-4,aapl
2021-02-23,3.2594806E-4,aapl
2021-02-24,3.0459338E-4,aapl
2021-02-25,2.8628437E-4,aapl
2021-02-26,3.5881228E-4,aapl
2021-03-01,3.3473124E-4,aapl
2021-03-02,5.1082746E-4,aapl
2021-03-03,5.0467567E-4,aapl
2021-03-04,5.111435E-4,aapl
2021-03-05,4.911334E-4,aapl
2021-03-08,4.6285853E-4,aapl
2021-03-09,5.5956806E-4,aapl
2021-03-10,6.3129026E-4,aapl
2021-03-11,5.881299E-4,aapl
2021-03-12,5.6210434E-4,aapl
2021-03-15,5.233606E-4,aapl
2021-03-16,5.260161E-4,aapl
2021-03-17,4.9789564E-4,aapl
2021-03-18,4.6379937E-4,aapl
2021-03-19,5.155671E-4,aapl
2021-03-22,4.7829375E-4,aapl
2021-03-23,4.992527E-4,aapl
2021-03-24,4.654583E-4,aapl
2021-03-25,4.6070464E-4,aapl
2021-03-26,4.2822302E-4,aapl
2021-03-29,3.9935313E-4,aapl
2021-03-30,3.7137754E-4,aapl
2021-03-31,3.567909E-4,aapl
2021-04-01,3.5745636E-4,aapl
2021-04-05,3.3660806E-4,aapl
2021-04-06,3.5334565E-4,aapl
2021-04-07,3.298406E-4,aapl
2021-04-08,3.2079677E-4,aapl
2021-04-09,3.2599136E-4,aapl
2021-04-12,3.3352303E-4,aapl
2021-04-13,3.2418195E-4,aapl
2021-04-14,3.4447765E-4,aapl
2021-04-15,3.4474002E-4,aapl
2021-04-16,3.4635133E-4,aapl
2021-04-19,3.2350968E-4,aapl
2021-04-20,3.0413037E-4,aapl
2021-04-21,2.9669664E-4,aapl
2021-04-22,2.785358E-4,aapl
2021-04-23,2.713738E-4,aapl
2021-04-26,2.7794734E-4,aapl
2021-04-27,2.6151625E-4,aapl
2021-04-28,2.463786E-4,aapl
2021-04-29,2.348217E-4,aapl
2021-04-30,2.2172413E-4,aapl
2021-05-03,2.2654423E-4,aapl
2021-05-04,2.1898706E-4,aapl
2021-05-05,3.008622E-4,aapl
2021-05-06,2.8198012E-4,aapl
2021-05-07,2.7621046E-4,aapl
2021-05-10,2.613351E-4,aapl
2021-05-11,2.9505417E-4,aapl
2021-05-12,2.8041477E-4,aapl
2021-05-13,3.091043E-4,aapl
2021-05-14,3.1193826E-4,aapl
2021-05-17,3.1960884E-4,aapl
2021-05-18,3.04981E-4,aapl
2021-05-19,2.9467032E-4,aapl
2021-05-20,2.7619585E-4,aapl
2021-05-21,2.9045984E-4,aapl
2021-05-24,2.8820703E-4,aapl
2021-05-25,2.828164E-4,aapl
2021-05-26,2.6548273E-4,aapl
2021-05-27,2.4956127E-4,aapl
2021-05-28,2.4626183E-4,aapl
2021-06-01,2.3415466E-4,aapl
2021-06-02,2.2158449E-4,aapl
2021-06-03,2.124755E-4,aapl
2021-06-04,2.1215413E-4,aapl
2021-06-07,2.2668004E-4,aapl
2021-06-08,2.1428456E-4,aapl
2021-06-09,2.0620566E-4,aapl
2021-06-10,1.9635668E-4,aapl
2021-06-11,1.9140347E-4,aapl
2021-06-14,1.8912563E-4,aapl
2021-06-15,2.2265733E-4,aapl
2021-06-16,2.1363574E-4,aapl
2021-06-17,2.0353995E-4,aapl
2021-06-18,2.0455763E-4,aapl
2021-06-21,2.0159518E-4,aapl
2021-06-22,2.0562831E-4,aapl
2021-06-23,2.0662963E-4,aapl
2021-06-24,1.9637671E-4,aapl
2021-06-25,1.870829E-4,aapl
2021-06-28,1.7866136E-4,aapl
2021-06-29,1.8184932E-4,aapl
2021-06-30,1.8296656E-4,aapl
2021-07-01,1.7608773E-4,aapl
2021-07-02,1.6867161E-4,aapl
2021-07-06,1.8871608E-4,aapl
2021-07-07,1.9517128E-4,aapl
2021-07-08,2.0847947E-4,aapl
2021-07-09,2.0390171E-4,aapl
2021-07-12,2.0570976E-4,aapl
2021-07-13,1.9650419E-4,aapl
2021-07-14,1.9131036E-4,aapl
2021-07-15,2.2302709E-4,aapl
2021-07-16,2.1242531E-4,aapl
2021-07-19,2.1581672E-4,aapl
2021-07-20,2.5807557E-4,aapl
2021-07-21,2.9022127E-4,aapl
2021-07-22,2.7394222E-4,aapl
2021-07-23,2.6385929E-4,aapl
2021-07-26,2.5831486E-4,aapl
2021-07-27,2.4363768E-4,aapl
2021-07-28,2.459456E-4,aapl
2021-07-29,2.426495E-4,aapl
2021-07-30,2.3028531E-4,aapl
2021-08-02,2.1772514E-4,aapl
2021-08-03,2.0653813E-4,aapl
2021-08-04,2.0736031E-4,aapl
2021-08-05,1.9728485E-4,aapl
2021-08-06,1.8760859E-4,aapl
2021-08-09,1.8042041E-4,aapl
2021-08-10,1.7224926E-4,aapl
2021-08-11,1.6562836E-4,aapl
2021-08-12,1.5902646E-4,aapl
2021-08-13,1.8327528E-4,aapl
2021-08-16,1.749788E-4,aapl
2021-08-17,1.8035092E-4,aapl
2021-08-18,1.749249E-4,aapl
2021-08-19,2.1535454E-4,aapl
2021-08-20,2.043789E-4,aapl
2021-08-23,2.0137873E-4,aapl
2021-08-24,1.9879699E-4,aapl
2021-08-25,1.8896851E-4,aapl
2021-08-26,1.8516608E-4,aapl
2021-08-27,1.7876906E-4,aapl
2021-08-30,1.7443494E-4,aapl
2021-08-31,2.315306E-4,aapl
2021-09-01,2.2385371E-4,aapl
2021-09-02,2.131546E-4,aapl
2021-09-03,2.0598967E-4,aapl
2021-09-07,1.9676406E-4,aapl
2021-09-08,2.0412849E-4,aapl
2021-09-09,2.0119347E-4,aapl
2021-09-10,1.9438298E-4,aapl
2021-09-13,2.666236E-4,aapl
2021-09-14,2.5167566E-4,aapl
