simulation,stock
49.533430873203216,amzn
180.2482886009279,amzn
177.97936017091573,amzn
218.08557775294636,amzn
199.50615328957176,amzn
147.61236346774186,amzn
203.2469169416608,amzn
181.73021280182655,amzn
113.75947661008279,amzn
116.10176719573813,amzn
151.39528172005552,amzn
229.68675709033306,amzn
155.26241064111417,amzn
135.82355130239054,amzn
107.05319332073377,amzn
133.73236750413986,amzn
84.00271265297621,amzn
219.3855371444196,amzn
102.9614621713661,amzn
208.9210122897196,amzn
120.66762411118519,amzn
323.92280851938085,amzn
69.05630509042109,amzn
152.58465595925966,amzn
145.42996144994882,amzn
583.5116839407785,amzn
104.52631407485,amzn
399.12281506548993,amzn
231.4468654726565,amzn
132.5465091039428,amzn
66.70205803709091,amzn
85.10551553257503,amzn
210.63828963184065,amzn
115.89295458202093,amzn
241.11933892450676,amzn
418.63104670470375,amzn
116.04684174146817,amzn
203.21013158545074,amzn
271.06276619892043,amzn
123.67541127941857,amzn
156.92930487009082,amzn
244.85712274500347,amzn
131.8206176052982,amzn
130.90973197060484,amzn
130.05955713903978,amzn
69.32146001866292,amzn
74.62933141793233,amzn
119.09571944950545,amzn
126.94569398276401,amzn
74.07502526607726,amzn
233.8948055583844,amzn
201.97042545324243,amzn
251.3964479733143,amzn
164.32226159793038,amzn
240.8055476582299,amzn
147.9854211025479,amzn
205.55289858868295,amzn
82.80779454401136,amzn
73.64698920784735,amzn
141.43796041277645,amzn
220.13647872040153,amzn
244.78162830856698,amzn
145.4740739452465,amzn
129.88711226660988,amzn
274.01111935089034,amzn
125.15051712613976,amzn
203.65176173400576,amzn
107.47815551114047,amzn
103.01139587189549,amzn
91.07516625111333,amzn
65.19563927996528,amzn
105.31236795219215,amzn
147.14578258268216,amzn
225.25950617694215,amzn
210.15630206767648,amzn
206.8330012897108,amzn
188.30225920475272,amzn
79.30548623102734,amzn
223.49193958576754,amzn
169.56651777798118,amzn
427.60920248653736,amzn
377.8708704719574,amzn
329.4100978961866,amzn
118.02558728672524,amzn
319.68596143456193,amzn
176.28535714263793,amzn
172.87635047317713,amzn
317.29334557448954,amzn
154.17096572477462,amzn
136.99728187217173,amzn
107.6725996000589,amzn
146.90077076569756,amzn
106.49620094369043,amzn
146.90309427284015,amzn
333.36899302212373,amzn
150.22513885970633,amzn
189.70916929739406,amzn
162.7736579307472,amzn
146.78646535108854,amzn
83.39553477571523,amzn
171.48233267687166,amzn
301.10323282696123,amzn
169.14502625756347,amzn
224.79229780295492,amzn
118.68597548877295,amzn
178.23261726086298,amzn
105.76614914785411,amzn
78.33848139313608,googl
58.843403546576084,googl
154.97151127807012,googl
172.97543079545414,googl
147.2297260492056,googl
74.79058915719446,googl
200.8160243272069,googl
98.74661910369608,googl
118.62194474563616,googl
176.62562560008152,googl
150.10320760098483,googl
116.59044236118729,googl
155.76591367350602,googl
92.37994509929734,googl
175.99119279677538,googl
106.17086851405325,googl
128.6026523466351,googl
116.19925906161194,googl
140.2348801578901,googl
192.0540601229079,googl
140.1636392571124,googl
150.48316375807246,googl
179.3154497431753,googl
158.32205559758728,googl
188.72053912352362,googl
133.66905698666847,googl
192.93212922659578,googl
151.5521229971609,googl
74.62435076300928,googl
90.36412100261168,googl
216.02882921018247,googl
87.39882893755406,googl
126.38432923129658,googl
138.90209836266743,googl
113.44950345493356,googl
176.44576151872724,googl
133.6715027201299,googl
147.907497795651,googl
131.27921218738746,googl
138.9826361995591,googl
198.92848455474646,googl
165.51164687300903,googl
79.59149433818432,googl
177.88681051741779,googl
260.69746675907,googl
160.2200288352052,googl
133.3174604927216,googl
145.40219776838273,googl
154.069622740332,googl
186.55057034017537,googl
151.30958041214558,googl
229.78824781480813,googl
218.12840830286083,googl
132.88576171551034,googl
180.2889188465883,googl
128.1230735241584,googl
118.46745469873528,googl
105.08280413150865,googl
170.2851756705455,googl
77.02212228090765,googl
167.28377415301784,googl
264.18524453735847,googl
196.8399560840956,googl
184.3006290385806,googl
203.88728133095267,googl
199.50291052187592,googl
138.72915948720842,googl
77.6383141196306,googl
111.51910949915981,googl
108.61973048799025,googl
180.32781663688903,googl
143.4275016079103,googl
161.72670007663632,googl
132.84835912212375,googl
105.27116713682477,googl
142.97577292776583,googl
183.45827652610666,googl
153.67082757495032,googl
128.69984051311556,googl
159.26971016073742,googl
139.9076937117771,googl
151.1084315608805,googl
129.00282384059506,googl
121.05921495140866,googl
252.4845906898164,googl
104.7462473513842,googl
120.67789052584038,googl
142.58490450645616,googl
159.89463093459548,googl
113.0452785158277,googl
136.18963089625208,googl
109.78930286885996,googl
183.29754007358892,googl
144.08682190879824,googl
112.24038576115007,googl
126.09441221616531,googl
80.74752159837533,googl
139.02670135188785,googl
153.97572776711343,googl
91.29985006995425,googl
124.36200053129507,googl
181.8389488994914,googl
180.08895680176408,googl
82.83396552855996,googl
229.3363923213525,googl
146.0690436166608,googl
179.73684427431337,googl
189.83995164901356,googl
127.10958051812526,googl
116.71364020131911,googl
200.17439732731722,googl
92.68531629622814,googl
175.51522376254835,googl
115.79231209319813,googl
167.05791139893464,googl
119.85774406073995,googl
198.54438052597786,googl
97.32741275550272,googl
140.55446955546816,googl
166.86775086650113,googl
119.03253605212609,googl
131.37630577284838,googl
143.0129821985053,googl
153.56190562049517,googl
141.46945706177866,googl
370.1017541245509,googl
245.4550919161952,googl
75.88698898765621,googl
158.25122914766882,googl
197.89638221701648,googl
170.89216724784288,googl
294.4503865858565,googl
174.56066281023686,googl
105.85005043174964,googl
212.0304136408464,googl
130.57212177574087,googl
207.89363865203927,googl
155.37146128945878,googl
121.55508259080024,googl
114.67046110188012,googl
127.69702375560634,googl
118.37108698714856,googl
132.5304700854026,googl
112.22542194818293,googl
136.3336873969537,googl
205.72191470274507,googl
119.53115098547151,googl
116.50748062024309,googl
169.62668289121177,googl
62.0230410995883,googl
105.5422823265202,googl
114.06739069588956,googl
124.71628859119126,googl
252.17706345003774,googl
107.6159562461682,googl
150.83165223471266,googl
131.98067684982405,googl
141.030324552267,googl
124.07972631376941,googl
97.02309348510613,googl
115.69148115854748,googl
96.16890764046899,googl
129.2507631759685,googl
142.41440859626005,googl
115.3976362019426,googl
154.85633296629348,googl
262.02816946386866,googl
156.60838205326934,googl
164.36830453762877,googl
154.18676884453737,googl
107.08425022332077,googl
118.08967775647588,googl
111.53986159594677,googl
170.2280191006317,googl
121.49895762455962,googl
229.34436298931567,googl
163.23053718394908,googl
111.61241179850083,googl
110.87570155436033,googl
95.94121270057536,googl
99.17343345824614,googl
209.76443154005682,googl
139.9199314576355,googl
115.26493890094378,googl
138.26314702504112,googl
131.2733372907049,googl
133.7412472530519,googl
105.73143376504609,googl
165.03436753912789,googl
97.20656843148753,googl
120.4218855431942,googl
142.6133635189198,googl
159.11002609932163,googl
148.5377338455665,googl
113.50256903871797,googl
191.51785968849663,googl
104.24444622136731,googl
165.60347584332214,googl
142.2546798258238,googl
147.25768921809723,googl
104.12696614279953,googl
189.50628800071962,googl
108.89574552802517,googl
175.95507352890144,googl
